Relations,Labels,Templates,We don't know Y (knowing X),Plural Templates
http://www.wikidata.org/entity/P463,member of,X is the member of Y,I don't know what X is a member of,X is the member of Y
http://www.wikidata.org/entity/P466,occupant,Y is the occupant of X,I don't know the occupant of X,Y are the occupants of X
http://www.wikidata.org/entity/P467,legislated by,X is legislated by Y,I don't know who X is legislated by,X is legislated by Y
http://www.wikidata.org/entity/P469,lakes on river,X flows through Y,I don't know where X flows through,X flows through Y
http://www.wikidata.org/entity/P47,shares border with,X shares border with Y,I don't know what X shares a border with,X shares border with Y
http://www.wikidata.org/entity/P479,input method,X has the input method Y,I don't know the input method of X,X has the input methods Y
http://www.wikidata.org/entity/P485,archives at,X's works are archived at Y,I can't find where are  X's works archived,X's works are archived at Y
http://www.wikidata.org/entity/P488,chairperson,X is the chairperson of Y,I don't know the chairperson of X,X is the chairperson of Y
http://www.wikidata.org/entity/P495,country of origin,X is the country of origin of Y,I don't know the country of origin of X,X is the country of origin of Y
http://www.wikidata.org/entity/P50,author,X was written by Y,I don't know the author of X,X was written by Y
http://www.wikidata.org/entity/P504,home port,The home port of X is Y,I don't know the home port of X,The home ports of X are Y
http://www.wikidata.org/entity/P509,cause of death,The cause of death of X was Y,I dont know the casue of death of X,The causes of death of X were Y
http://www.wikidata.org/entity/P512,academic degree,X has the academic degree Y,I don't know what academic degrees X has,X has the academic degrees Y
http://www.wikidata.org/entity/P516,powerplant,The powerplant of X is Y,I'm unable to find the powerplant of X,The powerplants of X are Y
http://www.wikidata.org/entity/P520,armament,X is armed with Y,I don't have the data regarding X's armaments,X is armed with Y
http://www.wikidata.org/entity/P53,family,X belongs to the Y,I can't find information regarding the family of X,X belongs to the Y
http://www.wikidata.org/entity/P530,diplomatic relation,X has diplomatic relations with Y,I don't know the diplomatic relations of X,X has diplomatic relations with Y
http://www.wikidata.org/entity/P532,port of registry,X's port of registry is Y,I can't find the port at which X is registered,X's port of registries is Y
http://www.wikidata.org/entity/P54,member of sports team,X plays in the Y,I don't know where X plays,X plays in the Y
http://www.wikidata.org/entity/P551,residence,X is the residence of Y,I don't know what is the residence of X,X is the residence of Y
http://www.wikidata.org/entity/P559,terminus,X ends at Y,The terminus of X is unknown to me,X ends at Y
http://www.wikidata.org/entity/P560,direction,X is directed towards Y,I don't know what X is directed twoards,X is directed towards Y
http://www.wikidata.org/entity/P566,basionym,X's basionym is Y,I'm not aware of the basionyms of X,X's basionyms are Y
http://www.wikidata.org/entity/P57,director,X is the director of Y,I don't know who the director of X is,X is the director of Y
http://www.wikidata.org/entity/P58,screenwriter,X is the screenwriter of Y,I don't know who the screenwriter of X is,X is the screenwriter of Y
http://www.wikidata.org/entity/P6,head of government,Y was the prime minister of X,I don't know who the prime minister of X is,Y were the prime ministers of X
http://www.wikidata.org/entity/P607,conflict,X was involved in the Y,I don't know the conflicts X is a part of,X was involved in the Y
http://www.wikidata.org/entity/P608,exhibition history,X was exhibited at Y,I can't seem to find exhibitions at which X was present,X was exhibited at Y
http://www.wikidata.org/entity/P609,terminus location,X has the terminus location Y,I don't know where the terminus of X is,X has the terminus locations Y
http://www.wikidata.org/entity/P61,discoverer or inventor,Y is the inventor of X,I don't know who invented X,Y are the inventors of X
http://www.wikidata.org/entity/P610,highest point,X has the highest elevation in Y,I don't know what the highest point in X is,X has the highest elevation in Y
http://www.wikidata.org/entity/P611,religious order,X belongs to the religious order of Y,I don't know what religious order X belongs to,X belongs to the religious orders of Y
http://www.wikidata.org/entity/P629,edition or translation of,X is the edition or translation of Y,I can't find the artefacts of which X is the edition or translations,X is the edition or translation of Y
http://www.wikidata.org/entity/P636,route of administration,X's route of administration is Y,I can't find the route of administration of X,X's routes of administration are Y
http://www.wikidata.org/entity/P641,sport,X plays the sport Y,I dont' know the sports played by X,X plays the sports Y
http://www.wikidata.org/entity/P647,drafted by,X is drafted by Y,I can't find the drafter of X,X is drafted by Y
http://www.wikidata.org/entity/P655,translator,X is translated by Y,I'm unable to find the translators of X,X is translated by Y
http://www.wikidata.org/entity/P658,tracklist,One of the track in the tracklist of X is Y,I don't know the tracks in X,Y are in the tracklist of X
http://www.wikidata.org/entity/P664,organizer,X is the organiser of Y,I can't find the things that X organized,X is the organiser of Y
http://www.wikidata.org/entity/P669,located on street,X is located on street Y,I can't find the street on which X rests,X is located on street Y
http://www.wikidata.org/entity/P674,characters,X appears in Y,I don't know about things in which X appears,X appears in Y
http://www.wikidata.org/entity/P676,lyrics by,X has lyrics written by Y,I don't know the lyricist of X,X has lyrics written by Y
